ID,Direction,Community,Elevator,Floor,TotalFloor,Layout,Price,Region,Renovation,Size,Year
101120641677,南北,南苑北里二区,无,中楼层,6,1室1厅,165.0,丰台,简装,50.24,
101123887709,南北,中国铁建原香漫谷二区,有,高楼层,18,3室1厅,180.0,房山,精装,93.29,2015
101121912059,南北,风雅园二区,无,中楼层,7,3室2厅,435.0,昌平,简装,121.0,
101122389223,西南,万方景轩,有,中楼层,18,1室2厅,645.0,朝阳,精装,72.98,2005
101119358329,东南西,领秀新硅谷2号院,有,中楼层,5,3室2厅,1240.0,海淀,精装,142.73,
101123179721,南,周家庄中路20号院,有,高楼层,28,1室1厅,255.0,朝阳,精装,56.28,
101122182558,南北,远见名苑二期,有,低楼层,20,3室2厅,1588.0,西城,精装,148.17,
101120912499,南北,西便门外大街,无,中楼层,7,2室1厅,770.0,西城,精装,55.2,1989
101123512752,西北,首创悦都汇,有,低楼层,8,2室1厅,146.0,大兴,简装,73.29,
101122519788,南北,霞光里30号院,无,顶层,6,2室1厅,277.0,朝阳,简装,55.79,1992
101122962957,南西北,春秀路,有,中楼层,21,2室1厅,650.0,东城,精装,62.54,
101123875818,南,首开畅心园,有,高楼层,29,1室1厅,210.0,朝阳,简装,50.74,
101123876743,南,清缘东里,无,顶层,5,1室1厅,270.0,海淀,简装,31.15,2003
101122179456,南,翠微东里,有,低楼层,18,1室1厅,450.0,海淀,精装,43.1,
101123583402,东,展览路,有,低楼层,18,1室1厅,525.0,西城,简装,52.4,1995
101123218929,南北,金地仰山西区,有,高楼层,18,4室2厅,725.0,大兴,精装,138.38,2012
101123124588,南北,长阳半岛4号院,有,中楼层,9,3室1厅,426.0,房山,精装,95.92,2012
101122157727,北南,仓上小区,无,中楼层,6,2室1厅,219.0,顺义,简装,76.87,1992
101124097786,南北,八角南里,无,底层,7,2室1厅,160.0,石景山,简装,52.81,
101123604883,南北,绿岛家园,无,中楼层,6,2室2厅,309.0,门头沟,简装,94.09,2004
101123218852,南北,金地国际花园,有,高楼层,24,4室2厅,3200.0,朝阳,精装,266.15,
101121336231,南北,刘家窑南里,无,顶层,6,3室1厅,316.0,丰台,简装,69.4,
101124155599,南,荣丰2008,有,高楼层,10,1室1厅,350.0,西城,精装,31.9,
101121729754,南北,水郡长安,有,中楼层,9,3室2厅,810.0,朝阳,精装,151.7,
101122052256,西,德胜佳苑,有,低楼层,6,1室0厅,748.0,西城,精装,57.95,2009
101123752748,南西北,西营房,有,高楼层,19,3室1厅,899.0,东城,精装,102.41,
101123464688,南北,山水文园一期,有,中楼层,9,2室1厅,970.0,朝阳,精装,113.25,
101123624413,南北,怡然世家,有,中楼层,28,2室1厅,259.0,通州,精装,71.62,2013
101122027010,南北,亦庄橡树湾,有,中楼层,10,4室2厅,535.0,通州,精装,123.56,2022
101121961222,南北,建设部大院,有,高楼层,15,3室1厅,835.0,海淀,精装,70.34,
101122886666,南北,青荷里晨风园二期,有,高楼层,27,2室1厅,295.0,朝阳,毛坯,90.85,2020
101121959316,西南,晨光家园A区,有,低楼层,30,2室1厅,498.0,朝阳,精装,82.58,2001
101121281023,东南,福景苑,有,高楼层,26,3室2厅,1900.0,朝阳,精装,268.87,2002
